>>>>>(3,-275,a3b3,302253529555206015)
>>>>>>(3,288,b8a8,7043814045115402717)
>>>>>>>>(3,288,a8b8,1535895266467793220)
>>>>>>>>>(3,-288,c4b5,3843742316384110623)
>>>>>>>>>>(3,319,b8a8,5811544796674293437)
>>>>>>>>>>(1,319,b8a8,5811544796674293437)
>>>>>>>>>>(3,323,b8c8,5020621958757822848)
>>>>>>>>>>(3,313,b8a7,6581788921733105224)
>>>>>>>>>>(3,292,b8b7,5135629786981977272)
>>>>>>>>>>(3,288,b8c7,7026497052102085227)
>>>>>>>>>(0,-288,c4b5,3843742316384110623)
>>>>>>>>>>(1,276,b8a8,5065658196706120377)
>>>>>>>>>(2,-276,c4b3,2575394041261384731)
>>>>>>>>>(3,-195,c4c3,7203525835488536821)
>>>>>>>>>(3,-288,c4d3,7421529408238875456)
>>>>>>>>(0,288,a8b8,1535895266467793220)
>>>>>>>>(3,292,a8a7,8521127176104631832)
>>>>>>>>(3,288,a8b7,7661601766753817832)
>>>>>>>(0,-288,b3c4,8116030706384666598)
>>>>>>>>>(3,-276,a3b3,2575394041261384731)
>>>>>>>>>(3,-177,a3a2,431806845731334182)
>>>>>>>>>(3,-195,a3b2,3315158022771225747)
>>>>>>>>(0,276,a8b8,4129376974005115149)
>>>>>>>(2,-276,b3a3,6683069222047494063)
>>>>>>>(3,-275,b3c3,799493516740691804)
>>>>>>>(3,-275,b3a2,7862820418884716431)
>>>>>>>(3,-275,b3b2,5107505437636991802)
>>>>>>>(3,-275,b3c2,5787888195430241519)
>>>>>>(0,288,b8a8,7043814045115402717)
>>>>>>(3,288,b8c8,8415736406994945760)
>>>>>>(3,275,b8a7,7651985861273743656)
>>>>>>>(3,-275,b3c4,8885630625809352467)
>>>>>>>>(3,292,a7a8,9056975321763309293)
>>>>>>>>(3,288,a7b8,1535895266467793220)
>>>>>>>>(3,288,a7b7,7661601766753817832)
>>>>>>>>(3,275,a7a6,2234853035066186656)
>>>>>>>>>(3,-275,c4b3,1036535579135208859)
>>>>>>>>>>(3,275,a6a7,5601671302143044172)
>>>>>>>>>>(1,282,a6a7,5601671302143044172)
>>>>>>>>>>(3,275,a6b7,8512659448537381848)
>>>>>>>>>>(1,254,a6b7,8512659448537381848)
>>>>>>>>>>(3,275,a6b6,8161558683770471843)
>>>>>>>>>(0,-254,c4b3,1036535579135208859)
>>>>>>>>>(3,-275,c4c3,7614253197870381585)
>>>>>>>>>>(3,275,a6a7,1006715003540219554)
>>>>>>>>>>(1,288,a6a7,1006715003540219554)
>>>>>>>>>>(3,278,a6b7,1291068292654115922)
>>>>>>>>>>(1,270,a6b7,1291068292654115922)
>>>>>>>>>>(3,278,a6b6,1624232723692294697)
>>>>>>>>>(0,-270,c4c3,7614253197870381585)
>>>>>>>>>(3,-275,c4d3,7831130594559386020)
>>>>>>>>>>(3,278,a6a7,647973880291917079)
>>>>>>>>>>(1,275,a6a7,647973880291917079)
>>>>>>>>>>(3,278,a6b7,1507662422712711143)
>>>>>>>>>>(3,278,a6b6,1408762705039018396)
>>>>>>>>>(0,-275,c4d3,7831130594559386020)
>>>>>>>>(0,275,a7a6,2234853035066186656)
>>>>>>>>(3,275,a7b6,7868878155669858963)
>>>>>>>(0,-275,b3c4,8885630625809352467)
>>>>>>>(3,-275,b3a3,8125212669780298814)
>>>>>>>(3,-247,b3c3,65768433446567849)
>>>>>>>(3,-275,b3a2,7417339077965741946)
>>>>>>>(3,-275,b3b2,7682020500557805739)
>>>>>>>(3,-275,b3c2,6603194808120994842)
>>>>>>(0,275,b8a7,7651985861273743656)
>>>>>>(3,275,b8b7,8512659448537381848)
>>>>>>(3,275,b8c7,5829143809012235531)
>>>>>(0,-275,a3b3,302253529555206015)
>>>>>>(3,275,b8a8,6921857254649618052)
>>>>>(2,-275,a3a2,431806845731334182)
>>>>>>>(3,-276,b2a3,6683069222047494063)
>>>>>>>>>(3,-275,a3b3,302253529555206015)
>>>>>>>>>>(3,288,b8a8,7043814045115402717)
>>>>>>>>>>(1,276,b8a8,7043814045115402717)
>>>>>>>>>>(3,288,b8c8,8415736406994945760)
>>>>>>>>>>(3,275,b8a7,7651985861273743656)
>>>>>>>>>>(1,276,b8a7,7651985861273743656)
>>>>>>>>>>(3,275,b8b7,8512659448537381848)
>>>>>>>>>>(1,254,b8b7,8512659448537381848)
>>>>>>>>>(2,-254,a3b3,302253529555206015)
>>>>>>>>>(3,-275,a3a2,431806845731334182)
>>>>>>>>>(2,0,a3b2,688413506720280567)
>>>>>>>>(0,275,a8b8,4129376974005115149)
>>>>>>>(2,-275,b2a3,6683069222047494063)
>>>>>>>(3,-275,b2b3,7841222634767700182)
>>>>>>>(3,-275,b2c3,799493516740691804)
>>>>>>>(3,-275,b2a2,7862820418884716431)
>>>>>>>(3,-275,b2c2,5787888195430241519)
>>>>>>>(3,-195,b2a1,456494950728311865)
>>>>>>>(3,-195,b2b1,2434349178979156916)
>>>>>>>(3,-275,b2c1,3395701477568274146)
>>>>>>(0,275,b8a8,7817345265900755285)
>>>>>(2,-275,a3b2,3315158022771225747)
>>>>(0,275,a8b8,2216347973052564073)
>>>>>>(3,288,a7a8,7043814045115402717)
>>>>>>(3,288,a7b8,657780662965167732)
>>>>>>(3,275,a7b7,8512659448537381848)
>>>>>>(3,275,a7a6,248747338774770832)
>>>>>>(3,275,a7b6,8161558683770471843)
>>>>>(0,-275,a3b3,7431055270871984163)
>>>>(2,275,a8a7,9066788538515985717)
>>>>>(3,-275,a3b3,8877214261754421971)
>>>>(2,275,a8b7,7044173047349977029)
>>>(0,-275,b2a3,8877574303081084107)
>>>>>>>>>>(1,431,b8a8,8235693833255483065)
>>>>>>>>>>(1,409,b8c8,7440258612503656836)
>>>>>>>>>>(1,409,b8a7,8771596987798376012)
>>>>>>>>>>(1,404,b8b7,7325283805451961532)
>>>>>>>>>>(1,388,b8c7,4859083886115996271)
>>>>>>>>>(0,-388,b5a5,1709812728323719195)
>>>>>>>>>>(1,388,b8a8,6682663109829722529)
>>>>>>>>>(2,-388,b5a6,4128922104185632515)
>>>>>>>>>>(1,388,b8a8,3777758746927616593)
>>>>>>>>>(2,-388,b5b6,5880643274435388659)
>>>>>>>>>>(1,388,b8a8,239382391174300154)
>>>>>>>>>(2,-388,b5c6,7395758801322882904)
>>>>>>>>>>(1,299,b8a8,6502254301197008265)
>>>>>>>>>(2,-299,b5c4,4597563479101426475)
>>>>>>>>(0,388,a8b8,4055085441343312148)
>>>>>>>>>>(1,388,a7a8,8235693833255483065)
>>>>>>>>>>(1,388,a7b8,1921700459433384208)
>>>>>>>>>>(1,388,a7b7,7325283805451961532)
>>>>>>>>>(0,-388,b5a5,8407025337234216775)
>>>>>>>>(2,388,a8a7,6581788921733105224)
>>>>>>>>>>(1,388,b7a8,8235693833255483065)
>>>>>>>>>>(1,388,b7b8,1921700459433384208)
>>>>>>>>>>(1,388,b7c8,7440258612503656836)
>>>>>>>>>>(1,388,b7a7,8771596987798376012)
>>>>>>>>>>(1,388,b7c7,4859083886115996271)
